"pattern","path","line","text"
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\865a072e-3cff-41c8-a382-7c540c6fca40.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\87671eb7-feb6-446b-bce8-73e47063bef6.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\9332b55e-615d-4c4a-834b-580accd065d0.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\94269196-5861-4a5d-b517-b6dc1d20e695.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\9b07ea72-ae7f-4438-8a28-a6e2ec65beb4.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\a2ee6bb9-30c6-4a52-b36e-dc0ac4e7447e.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\a6c3ee03-eac0-4def-9e67-71a2d7a8391e.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\aeb8c0e6-19dc-4861-b29d-0fc70c8036ef.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\b3d5c9f3-3272-4b58-80ec-baab9fa1ec3e.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\ca7b0446-5706-4d56-999b-0450d2693dca.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\d1b3d9d6-b6c7-4028-b5e8-acee1ee37d32.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\d78fda89-b75e-4d83-bc59-6241c4ce86d6.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\da86d634-2a47-43c7-b1d8-4e2e471208b5.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\dc070988-5d5c-42eb-bf17-53f9e123c54f.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\dc56a306-547c-4db3-9b14-2af5a37e43a8.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\e48d57ae-43f2-4c68-ae01-251c45b02d97.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\e6b15011-679e-4520-b903-0946d6c5a25e.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\ec14a1fa-564f-4a1c-ab04-4e36ab8e7c21.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\fef155c6-4b64-42ac-8695-d061c762f168.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\ff6df17c-0fe2-4a60-a9ab-79aaabdaea9c.json","27","""provider"": ""kokoro"","
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\analyze-video-emergency.js","1","const ffmpeg = require('fluent-ffmpeg');"
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\analyze-video-emergency.js","5","ffmpeg.ffprobe(videoPath, (err, metadata) => {"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\analyze-video-emergency.js","5","ffmpeg.ffprobe(videoPath, (err, metadata) => {"
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\AUDIO_DURATION_FIX_REPORT.json","8","""change"": ""Use script.duration as source of truth instead of ffprobe when available"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\AUDIO_DURATION_FIX_REPORT.json","9","""rationale"": ""ffprobe was reading WAV file duration incorrectly (including silence). Now uses script.duration field as primary source."""
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\AUDIO_DURATION_FIX_REPORT.json","13","""fallback"": ""ffprobe with mismatch detection"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\AUDIO_DURATION_FIX_REPORT.json","23","""detectionLog"": ""Audio duration mismatch detected: script=28s, ffprobe=201.9s (86% diff) — using script duration, ffprobe likely includes silence"""
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\AUDIO_DURATION_FIX_REPORT.json","51","""reason"": ""Kokoro generated audio only 2.32s (real audio length) instead of 28s (script duration)"""
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\AUDIO_DURATION_FIX_REPORT.json","56","""audioGenerationIssue"": ""Kokoro TTS is generating audio much shorter than script.duration specifies. This is a SEPARATE issue from ffprobe duration detection."","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\AUDIO_DURATION_FIX_REPORT.json","56","""audioGenerationIssue"": ""Kokoro TTS is generating audio much shorter than script.duration specifies. This is a SEPARATE issue from ffprobe duration detection."","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\AUDIO_DURATION_FIX_REPORT.json","58","""nextIssue"": ""Kokoro/synthesizeVoice generation producing insufficient audio duration"""
